"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"448","6.17977528","0.13762204","0.16181818","0.0","TCA cycle VI (obligate autotrophs)","8","8","12","17","XC_0031; XC_0032; XC_0800; XC_0944; XC_1063; XC_1064; XC_1981; XC_1982; XC_1983; XC_2326; XC_2329; XC_2742; XC_2822; XC_3213; XC_3307; XC_3479; XC_3854","false","PWY-5913","2.25","8","0","0","0.74101124","11","false","0","PWY-5913","17068","false","0.125"
"193","7.26404494","0.09819294","0.13766435","0.05555556","tetrapyrrole biosynthesis I (from glutamate)","9","9","13","6","XC_0208; XC_0649; XC_0892; XC_1429; XC_3362; XC_4045","false","PWY-5188","2.33333333","9","0","0","0.68679775","6","false","0","PWY-5188","9004","false","0.19753086"
"449","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","METHIONINE-SYN","8.0","1","0","0","0.69129213",,"false","0","METHIONINE-SYN","0","false","0.0"
"194","8.26966292","1.587E-4","0.12092391","0.33333333","tetrapyrrole biosynthesis II (from glycine)","3","3","14","4","XC_0208; XC_0649; XC_3296; XC_4045","false","PWY-5189","3.0","3","0","0","0.63651685","4","false","0","PWY-5189","6","false","0.53333333"
"450","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","LYSINE-SYN","8.0","1","0","0","0.69129213",,"false","0","LYSINE-SYN","0","false","0.0"
"195","8.25842697","0.0","0.12108844","0.0","chlorophyllide <i>a</i> biosynthesis III","1","1","14","6","XC_0963; XC_1265; XC_2090; XC_2549; XC_3395; XC_4108","false","PWY-7159","9.0","1","0","0","0.63707865","10","false","0","PWY-7159","0","false","0.0"
"451","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","THREONINE-BIOSYNTHESIS","8.0","1","0","0","0.69129213",,"false","0","THREONINE-BIOSYNTHESIS","0","false","0.0"
"196","8.25842697","0.0","0.12108844","0.0","chlorophyllide <i>a</i> biosynthesis I","1","1","14","6","XC_0963; XC_1265; XC_2090; XC_2549; XC_3395; XC_4108","false","CHLOROPHYLL-SYN","9.0","1","0","0","0.63707865","10","false","0","CHLOROPHYLL-SYN","0","false","0.0"
"452","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","ISOLEUCINE-SYN","8.0","1","0","0","0.69129213",,"false","0","ISOLEUCINE-SYN","0","false","0.0"
"197","8.26966292","0.01123596","0.12092391","0.33333333","superpathway of heme biosynthesis from glycine","3","3","14","10","XC_0208; XC_0649; XC_0963; XC_1265; XC_2090; XC_3296; XC_3395; XC_4045; XC_4108; XC_4186","false","PWY-5920","2.66666667","3","0","0","0.63651685","2","false","0","PWY-5920","830","true","0.46666667"
"453","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","ARGININE-SYN","8.0","1","0","0","0.69129213",,"false","0","ARGININE-SYN","0","false","0.0"
"198","9.26404494","0.0","0.10794421","0.0","","1","1","15",,"","false","GLYCINE-SYN","3.0","1","0","0","0.58679775",,"false","0","GLYCINE-SYN","0","false","0.0"
"199","6.39325843","0.14575002","0.15641476","0.33333333","superpathay of heme biosynthesis from glutamate","3","3","12","12","XC_0208; XC_0649; XC_0892; XC_0963; XC_1265; XC_1429; XC_2090; XC_3362; XC_3395; XC_4045; XC_4108; XC_4186","false","PWY-5918","5.66666667","3","0","0","0.73033708","2","false","0","PWY-5918","12800","true","0.38095238"
"200","8.25280899","0.0","0.12117086","1.0","heme biosynthesis from uroporphyrinogen-III II","2","2","14","4","XC_0963; XC_1265; XC_2090; XC_4186","false","HEMESYN2-PWY","5.5","2","0","0","0.63735955","4","false","0","HEMESYN2-PWY","0","false","0.61111111"
"456","7.09550562","0.0","0.14093428","0.0","oxidized GTP and dGTP detoxification","2","2","15","2","XC_1955; XC_2220","false","PWY-6502","11.0","2","0","1","0.69522472","4","false","0","PWY-6502","0","false","0.0"
"201","8.25280899","0.0","0.12117086","1.0","superpathway of heme biosynthesis from uroporphyrinogen-III","2","2","14","6","XC_0963; XC_1265; XC_2090; XC_3395; XC_4108; XC_4186","false","PWY0-1415","5.5","2","0","0","0.63735955","5","false","0","PWY0-1415","0","true","0.61111111"
"202","7.29775281","0.03285089","0.13702848","0.33333333","heme biosynthesis from uroporphyrinogen-III I","4","4","13","6","XC_0963; XC_1265; XC_2090; XC_3395; XC_4108; XC_4186","false","HEME-BIOSYNTHESIS-II","4.5","4","0","0","0.68511236","4","false","0","HEME-BIOSYNTHESIS-II","2472","false","0.34615385"
"203","6.76404494","0.0","0.14784053","0.0","menaquinol-8 biosynthesis","1","1","14","1","XC_0673","false","MENAQUINONESYN-PWY","3.0","1","0","0","0.71179775","1","false","0","MENAQUINONESYN-PWY","0","false","0.0"
"204","6.75280899","0.0","0.14808652","1.0","ubiquinol-8 biosynthesis (prokaryotic)","2","2","14","6","XC_0234; XC_0402; XC_0673; XC_1846; XC_3432; XC_3433","false","PWY-6708","3.0","2","0","0","0.71235955","8","false","0","PWY-6708","0","false","0.75"
"215","9.21910112","2.116E-5","0.10847044","0.0","adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II","3","3","15","7","XC_1094; XC_1096; XC_1097; XC_1098; XC_1099; XC_1100; XC_1101","false","PWY-5508","3.0","3","0","1","0.58904494","9","false","0","PWY-5508","2","false","1.0"
"216","8.23595506","0.01114074","0.12141883","0.0","adenosylcobalamin biosynthesis I (early cobalt insertion)","4","4","14","10","XC_0983; XC_1094; XC_1095; XC_1096; XC_1097; XC_1098; XC_1099; XC_1100; XC_1101; XC_2181","false","PWY-5507","4.33333333","4","0","1","0.63820225","14","false","0","PWY-5507","1650","true","0.41666667"
"217","8.23595506","0.01114074","0.12141883","0.0","adenosylcobalamin biosynthesis II (late cobalt incorporation)","4","4","14","10","XC_0983; XC_1094; XC_1095; XC_1096; XC_1097; XC_1098; XC_1099; XC_1100; XC_1101; XC_2181","false","P381-PWY","4.33333333","4","0","1","0.63820225","14","false","0","P381-PWY","1650","true","0.41666667"
"218","9.21910112","2.116E-5","0.10847044","0.0","adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I","3","3","15","7","XC_1094; XC_1096; XC_1097; XC_1098; XC_1099; XC_1100; XC_1101","false","PWY-5509","3.0","3","0","1","0.58904494","8","false","0","PWY-5509","2","false","1.0"
"221","5.5","0.15703317","0.18181818","0.28571429","superpathway of tetrahydrofolate biosynthesis","7","7","13","9","XC_0731; XC_1769; XC_2469; XC_2471; XC_2517; XC_3285; XC_3443; XC_3887; XC_4253","false","PWY-6612","5.42857143","7","0","0","0.775","3","false","0","PWY-6612","32406","true","0.20879121"
"222","6.1011236","0.12453947","0.16390424","0.05454545","guanosine nucleotides <i>de novo</i> biosynthesis","13","13","14","6","XC_0958; XC_1769; XC_1934; XC_1935; XC_2203; XC_4180","false","PWY-6125","3.36363636","13","0","2","0.74494382","9","false","0","PWY-6125","30980","false","0.14832536"
"223","6.48876404","0.0","0.15411255","1.0","folate transformations I","2","2","14","9","XC_0322; XC_0326; XC_0474; XC_1933; XC_2724; XC_2725; XC_3135; XC_3496; XC_3544","false","PWY-2201","6.0","2","0","0","0.7255618","12","false","0","PWY-2201","0","false","0.85714286"
"224","6.47752809","0.01123596","0.15437988","0.33333333","folate polyglutamylation","3","3","14","3","XC_0474; XC_3285; XC_3544","false","PWY-2161","4.33333333","3","0","0","0.7261236","5","false","0","PWY-2161","754","false","0.57142857"
"225","5.65730337","0.00461367","0.17676266","0.66666667","4-aminobenzoate biosynthesis","4","4","13","1","XC_1769","false","PWY-6543","7.66666667","4","0","1","0.76713483","2","false","0","PWY-6543","558","false","0.47916667"
"226","6.46629213","2.8566E-4","0.15464813","0.4","tetrahydrofolate biosynthesis","6","6","14","3","XC_2517; XC_3285; XC_3443","false","PWY-6614","3.6","6","0","1","0.72668539","3","false","0","PWY-6614","18","false","0.45"
"228","7.47191011","0.0","0.13383459","0.0","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate","1","1","15","2","XC_1322; XC_1933","false","PWY-6613","3.0","1","0","0","0.67640449","2","false","0","PWY-6613","0","false","0.0"
"229","6.3258427","8.4561E-4","0.15808171","0.66666667","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","3","3","14","5","XC_0731; XC_2469; XC_2471; XC_3887; XC_4253","false","PWY-6147","7.66666667","3","0","0","0.73370787","5","false","0","PWY-6147","180","false","0.47916667"
"230","8.87078652","0.0","0.11272958","0.0","","1","1","16",,"","false","BETA-ALANINE-BIOSYNTHESIS","6.0","1","0","0","0.60646067",,"false","0","BETA-ALANINE-BIOSYNTHESIS","0","false","0.0"
"231","6.1741573","0.07050482","0.16196542","0.28888889","superpathway of thiamin diphosphate biosynthesis I","10","10","14","8","XC_0846; XC_0895; XC_1015; XC_1344; XC_1347; XC_1678; XC_2499; XC_3535","false","THISYN-PWY","5.4","10","0","0","0.74129213","3","false","0","THISYN-PWY","18318","true","0.24545455"
"232","6.97191011","0.00932203","0.14343272","0.23809524","","7","7","15",,"","false","AIR-BIOSYNTHESIS","5.71428571","7","0","0","0.70140449",,"false","0","AIR-BIOSYNTHESIS","1716","false","0.33928571"
"233","6.30898876","0.05433145","0.15850401","0.38095238","superpathway of thiamin diphosphate biosynthesis II","7","7","14","8","XC_0846; XC_0895; XC_1015; XC_1344; XC_1347; XC_1678; XC_2499; XC_3535","false","PWY-6895","5.14285714","7","0","0","0.73455056","5","false","0","PWY-6895","9768","true","0.34285714"
"234","7.12921348","0.00475729","0.14026793","0.33333333","thiazole biosynthesis II (Bacillus)","5","5","15","4","XC_1015; XC_1344; XC_1347; XC_1678","false","PWY-6891","5.0","5","0","1","0.69353933","7","false","0","PWY-6891","1490","false","0.43181818"
"235","7.2247191","0.02236082","0.13841369","0.33333333","thiamin diphosphate biosynthesis II (Bacillus)","5","5","15","2","XC_0895; XC_3535","false","PWY-6893","4.75","5","0","1","0.68876404","2","false","0","PWY-6893","2874","false","0.45"
"236","8.06741573","1.587E-5","0.12395543","0.0","thiamin diphosphate biosynthesis III (Staphylococcus)","2","2","16","3","XC_0895; XC_2525; XC_4227","false","PWY-6907","5.0","2","0","0","0.64662921","3","false","0","PWY-6907","2","false","0.8"
"237","7.08426966","0.01048795","0.14115781","0.33333333","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis","6","6","15","2","XC_0846; XC_2499","false","PWY-6890","5.66666667","6","0","0","0.69578652","2","false","0","PWY-6890","2828","false","0.34375"
"238","7.11797753","1.0633E-4","0.14048934","0.66666667","thiamin diphosphate biosynthesis I (E. coli)","5","5","15","2","XC_0895; XC_3535","false","PWY-6894","7.0","5","0","1","0.69410112","2","false","0","PWY-6894","18","false","0.5"
