X,I,T,V
0.0495,1.55702217360408,399999998.350987,0.0141244948640054
0.1495,4.7068585512734,399999994.663065,0.0182377619723983
0.2495,8.90819805144613,399999989.304329,0.0285475987126244
0.3495,15.5612474555296,399999980.5753,0.0475415348396193
0.4495,26.6769956158469,399999965.877769,0.0805189224055084
0.5495,45.5192383346029,399999940.914046,0.136967452879685
0.6495,77.5779782921513,399999898.418271,0.233249446346207
0.749500000000001,132.17559220416,399999826.036432,0.397325990113041
0.849500000000001,225.180526236186,399999702.732659,0.676868973025212
0.9495,383.620561667503,399999492.674765,1.15310844537141
1.04949999999999,653.537695121747,399999134.821055,1.96443491911754
1.14949999999998,1113.36772695434,399998525.182045,3.34661321691536
1.24949999999997,1896.73246321678,399997486.602695,5.70129229871679
1.34949999999996,3231.26675331942,399995717.285337,9.71271729990277
1.44949999999995,5504.75990014618,399992703.098286,16.5465537365894
1.54949999999994,9377.82182953086,399987568.199096,28.1885843360881
1.64949999999993,15975.7853046669,399978820.59799,48.0216535272615
1.74949999999992,27215.5261197765,399963918.821086,81.8083762395393
1.84949999999991,46361.9303552119,399938534.03086,139.364774085771
1.94949999999989,78975.0099573379,399895294.000266,237.410008784741
2.04949999999988,134520.848438255,399821646.324805,404.416908305885
2.14949999999987,229108.580742036,399696226.829468,688.862900612943
2.24949999999986,390131.585419526,399482697.828045,1173.25027411109
2.34949999999985,664111.904786546,399119323.481034,1997.886693713
2.44949999999984,1129883.97114826,398501419.874856,3401.09562229269
2.54949999999983,1920536.02822983,397452060.442083,5786.84685371616
2.64949999999982,3259305.31516839,395673898.686487,9837.46478726108
2.74949999999981,5516520.11765365,392672001.864122,16698.4772002228
2.8494999999998,9294865.37407845,387636108.93322,28273.2990780991
2.94949999999979,15542807.1435872,379277367.832541,47669.2265095293
3.04949999999977,25665673.9881416,365647108.895762,79807.0424212619
3.14949999999976,41520797.0574371,344059800.60803,132079.165571794
3.24949999999975,65020804.0633406,311437391.558552,214598.554841488
3.34949999999974,96920945.0288311,265603448.059444,338954.274701985
3.44949999999973,134710081.07455,207768239.675552,513921.720264986
3.54949999999972,171071914.897244,144796893.77247,737904.100607945
3.64949999999971,196013939.521682,87799906.4304673,992501.722423328
3.7494999999997,203057095.779645,45897468.6493506,1245237.01050907
3.84949999999969,193502120.533265,20889577.6916941,1462886.57218591
3.94949999999968,173967486.312672,8494694.74557905,1624732.16788089
4.04949999999969,151095930.775195,3192430.16961378,1725756.05273355
4.14949999999972,128910347.234514,1147132.75510566,1771609.1727611
4.24949999999975,109073593.212411,405972.732211376,1772341.53743772
4.34949999999979,91958266.1130056,144901.721123978,1738466.25964977
4.44949999999982,77412597.7382319,53104.2065002187,1679294.06373093
4.54949999999985,65127563.1963072,20242.7064504673,1602503.89286069
4.64949999999989,54778092.3717816,8096.84035323711,1514210.63946223
4.74949999999992,46068255.7144523,3417.27007955628,1419182.40252669
4.84949999999995,38741451.5689403,1526.40857546837,1321075.83612258
4.94949999999999,32579207.7365037,722.375347273329,1222648.18937788
5.04950000000002,27396848.7300167,362.077116959086,1125936.93999928
5.14950000000005,23038724.6265842,191.942849161093,1032408.26425511
5.24950000000009,19373811.3142439,107.383388882286,943078.347226056
5.34950000000012,16291874.0968552,63.2321863458187,858611.852683462
5.44950000000015,13700191.9254006,39.073159019496,779401.469899316
5.54950000000019,11520784.0067794,25.2572411296274,705631.895862784
5.64950000000022,9688070.26061941,17.0239506998319,637331.069681866
5.74950000000025,8146900.95554042,11.9264052917885,574410.998801138
5.84950000000029,6850898.51970165,8.65714902016477,516700.110807601
