I,T,V
1.55702221393585,400000000,0.0141244949772954
1.85278153419495,400000000,0.0144118778407574
2.14949750900269,400000000,0.0147063806653023
2.44812703132629,400000000,0.0150151243433356
2.74962639808655,400000000,0.0153452288359404
3.05495262145996,400000000,0.0157038159668446
3.36506223678589,400000000,0.016098003834486
3.68091201782227,400000000,0.0165349151939154
4.00345849990845,400000000,0.017021669074893
4.33365821838379,400000000,0.0175653845071793
4.6724681854248,400000000,0.0181731842458248
5.02089071273804,400000000,0.0188513807952404
5.38018321990967,400000000,0.0196019299328327
5.75168323516846,400000000,0.0204253122210503
6.13673257827759,400000000,0.0213220175355673
6.53667020797729,400000000,0.022292522713542
6.95283699035645,400000000,0.0233373176306486
7.38657236099243,400000000,0.0244568828493357
7.83921670913696,400000000,0.0256517045199871
8.31210994720459,400000000,0.0269222650676966
8.80659294128418,400000000,0.028269050642848
9.32404804229736,400000000,0.0296929683536291
9.86616897583008,400000000,0.0311980377882719
10.4347953796387,400000000,0.0327896848320961
11.0317630767822,400000000,0.0344733446836472
11.6589088439941,400000000,0.0362544357776642
12.3180694580078,399999968,0.0381383933126926
13.0110845565796,399999968,0.0401306562125683
13.7397871017456,399999968,0.0422366373240948
14.5060176849365,399999968,0.0444617718458176
15.3116130828857,399999968,0.0468114987015724
16.1584758758545,399999968,0.0492914170026779
17.0492134094238,399999968,0.0519090630114079
17.9868431091309,399999968,0.0546730719506741
18.97438621521,399999968,0.0575921088457108
20.0148639678955,399999968,0.0606748200953007
21.1112995147705,399999968,0.063929870724678
22.266716003418,399999968,0.0673659220337868
23.4841346740723,399999968,0.0709916278719902
24.7665786743164,399999968,0.074815645813942
26.1170711517334,399999968,0.0788466483354568
27.5387096405029,399999968,0.0830935090780258
29.0356979370117,399999968,0.0875686556100845
30.6130905151367,399999968,0.092287190258503
32.2759742736816,399999968,0.0972643196582794
34.0294227600098,399999968,0.102515213191509
35.8785247802734,399999968,0.108055099844933
37.8283462524414,399999936,0.113899111747742
39.8839721679688,399999936,0.120062455534935
42.0504875183105,399999936,0.126560315489769
44.3329658508301,399999936,0.133407905697823
46.7365608215332,399999936,0.140620589256287
