#TIME,N,T_CD4,T_CD8,U,V
0,3.25999999,1.179999948,2.579999924,2663.030029,0
0.005,3.259647846,1.184893847,2.579728365,2663.032471,30.1505127
0.01,3.259647846,1.184893847,2.579728365,2663.032471,30.1505127
0.015,3.259319544,1.189757347,2.579459429,2663.033936,60.60205078
0.02,3.259319544,1.189757347,2.579459429,2663.033936,60.60205078
0.024999999,3.25901413,1.194590569,2.579192877,2663.03418,91.35461426
0.029999997,3.25901413,1.194590569,2.579192877,2663.03418,91.35461426
0.034999996,3.258732319,1.199393392,2.578928709,2663.033447,122.4082031
0.039999995,3.258732319,1.199393392,2.578928709,2663.033447,122.4082031
0.044999994,3.258473635,1.204165697,2.578667164,2663.031738,153.7628174
0.049999993,3.258238316,1.208907723,2.578408241,2663.031738,153.7628174
0.054999992,3.258238316,1.208907723,2.578408241,2663.029053,185.418457
0.059999991,3.2580266,1.213619471,2.578151464,2663.029053,185.418457
0.06499999,3.2580266,1.213619471,2.578151464,2663.025391,217.3751221
0.069999993,3.257838011,1.218300819,2.57789731,2663.020508,249.6328125
0.074999996,3.257838011,1.218300819,2.57789731,2663.020508,249.6328125
0.079999998,3.257673025,1.22295177,2.577645779,2663.014893,282.1915283
0.085000001,3.257530928,1.227572203,2.577396393,2663.014893,282.1915283
0.090000004,3.257530928,1.227572203,2.577396393,2663.008057,315.0512695
0.095000006,3.257412434,1.232162356,2.577150106,2663.008057,315.0512695
0.100000009,3.257412434,1.232162356,2.577150106,2663,348.2120361
0.105000012,3.257317305,1.23672235,2.576905727,2663,348.2120361
0.110000014,3.257317305,1.23672235,2.576905727,2662.991211,381.6738281
0.115000017,3.257245541,1.241251707,2.576663971,2662.991211,381.6738281
0.12000002,3.257245541,1.241251707,2.576663971,2662.981201,415.4366455
0.125000015,3.257197142,1.245750785,2.576424837,2662.970459,449.5004883
0.13000001,3.257172108,1.250219464,2.576188087,2662.970459,449.5004883
0.135000005,3.257172108,1.250219464,2.576188087,2662.958496,483.8653564
0.140000001,3.2571702,1.254657865,2.575953722,2662.958496,483.8653564
0.144999996,3.2571702,1.254657865,2.575953722,2662.945557,518.53125
0.149999991,3.257191896,1.259065747,2.575721741,2662.945557,518.53125
0.154999986,3.257191896,1.259065747,2.575721741,2662.931396,553.4981689
0.159999982,3.257236719,1.263443351,2.57549262,2662.931396,553.4981689
0.164999977,3.257305145,1.267790556,2.575265646,2662.916504,588.7661133
0.169999972,3.257305145,1.267790556,2.575265646,2662.900391,624.335083
0.174999967,3.257396698,1.272107363,2.575041294,2662.900391,624.335083
0.179999962,3.257396698,1.272107363,2.575041294,2662.883545,660.2050781
0.184999958,3.257511616,1.27639389,2.574819326,2662.883545,660.2050781
0.189999953,3.257511616,1.27639389,2.574819326,2662.865479,696.3760986
0.194999948,3.257650137,1.28065002,2.574599981,2662.865479,696.3760986
0.199999943,3.257811546,1.284875631,2.57438302,2662.846191,732.8481445
0.204999939,3.257811546,1.284875631,2.57438302,2662.826172,769.6212158
0.209999934,3.257996798,1.289070964,2.574168444,2662.826172,769.6212158
0.214999929,3.257996798,1.289070964,2.574168444,2662.805176,806.6953125
0.219999924,3.258204937,1.293236017,2.57395649,2662.805176,806.6953125
0.22499992,3.25843668,1.297370672,2.57374692,2662.782959,844.0704346
0.229999915,3.25843668,1.297370672,2.57374692,2662.782959,844.0704346
0.23499991,3.258691788,1.30147481,2.573539972,2662.759766,881.746582
0.239999905,3.258691788,1.30147481,2.573539972,2662.759766,881.746582
0.2449999,3.258970261,1.305548668,2.573335409,2662.735596,919.7237549
0.249999896,3.259272099,1.309592128,2.57313323,2662.710205,958.0019531
0.254999906,3.259272099,1.309592128,2.57313323,2662.710205,958.0019531
0.259999901,3.259597063,1.313605309,2.572933912,2662.684082,996.5811768
0.264999896,3.259597063,1.313605309,2.572933912,2662.684082,996.5811768
0.269999892,3.259945393,1.317588091,2.57273674,2662.656738,1035.461426
0.274999887,3.259945393,1.317588091,2.57273674,2662.656738,1035.461426
0.279999882,3.260317326,1.321540475,2.572542191,2662.628418,1074.6427
0.284999877,3.260712385,1.325462461,2.572350025,2662.599121,1114.125
0.289999872,3.260712385,1.325462461,2.572350025,2662.599121,1114.125
0.294999868,3.261131048,1.329354167,2.572160244,2662.568604,1153.908325
0.299999863,3.261131048,1.329354167,2.572160244,2662.568604,1153.908325
0.304999858,3.261572838,1.333215356,2.571973085,2662.537109,1193.992676
0.309999853,3.262037992,1.337046266,2.571788311,2662.504883,1234.378052
0.314999849,3.262037992,1.337046266,2.571788311,2662.504883,1234.378052
0.319999844,3.262526512,1.340846777,2.571606159,2662.471436,1275.064453
0.324999839,3.262526512,1.340846777,2.571606159,2662.471436,1275.064453
0.329999834,3.263038397,1.34461689,2.571426392,2662.437012,1316.05188
0.33499983,3.263573647,1.348356724,2.571249008,2662.437012,1316.05188
0.339999825,3.263573647,1.348356724,2.571249008,2662.401611,1357.340332
