CategoryL3,2_4,10_1,16_1,1_3,20_1,5_6,11_2_1,10_3,10_2,8_5,11_2,4_7,14_1,4_5,2_3,10_4,6_4,18_1,13_1,19_1,15_1,15_2,11_2_2,7_4,11_1,3_4,3_6,17_1,3_5,12_1,5_7,1_5,3_3,1_4
Pyruvate metabolism,257879,216204,178268,127793,326200,259211,216017,609963,193431,255979,206931,237615,897006,207094,510192,190345,259172,1855352,293081,176496,179414,181785,237245,282245,179752,154313,211173,174069,181066,191597,616821,622511,224419,602335
Phosphotransferase system (PTS),181501,168174,45844,204316,314130,163381,119324,729765,151689,197572,135656,159514,1119985,122789,618031,118397,158957,2391899,170780,173324,126640,113588,140747,193228,115821,125357,155814,170088,137148,126413,679532,763761,162581,730049
Peptidases,353324,308771,418605,150651,475379,312448,330870,821749,281542,387118,332980,360154,1161034,303354,681486,397181,409781,2323357,505633,264228,250696,285904,441571,491766,315469,218405,316613,241481,277353,277758,907282,830271,314709,812374
Purine metabolism,416249,452476,567754,257874,575484,469412,454227,899453,400172,506026,473644,463831,1238615,434118,717990,545863,600787,2410351,595101,390921,366220,375695,614550,592830,456682,310232,475901,361597,393110,389761,970617,890564,465060,853101
DNA repair and recombination proteins,485619,541591,666498,296268,664763,564592,552779,1023043,477654,581425,578123,556875,1385669,523359,817026,680130,738036,2660193,750313,465937,440896,453468,762258,707318,558738,370721,559735,429245,474730,468711,1122805,1011719,559697,972642
Other ion-coupled transporters,308102,297342,241331,137850,521208,345104,248495,956910,209666,410573,282660,304635,1449520,296698,832938,205659,308753,3023729,400687,192934,257386,254118,299951,429436,252192,235467,317681,253081,264040,296049,986723,1011864,349105,985671
Function unknown,429649,434966,303504,141488,658641,300532,362245,1151739,300376,499846,406397,368919,1657230,423191,1001347,270599,311024,3411224,436277,276598,379740,307634,422274,484334,350259,331042,439266,368297,362445,412113,1161177,1219618,510312,1195849
Secretion system,447219,475558,258498,108585,624547,251659,352445,1148166,336302,466234,404394,337205,1761375,439114,988005,200523,236608,3652323,360871,290018,406626,311061,381369,476210,321747,352341,441952,395490,369759,422993,1128732,1211889,550433,1178179
Two-component system,503090,457854,208493,133162,677174,277190,390891,1245903,307699,485043,404153,365235,1762529,448889,1095565,170921,227052,3660558,402183,263730,416537,322726,361188,461575,301107,372798,435988,400779,385348,433198,1223815,1330093,551357,1308282
Transcription factors,479483,391626,345277,195616,754776,359238,329101,1511602,310182,508691,371413,367684,2203844,357269,1315736,328948,378465,4629416,510371,307142,327556,319104,422491,546821,323790,298485,379545,331852,339420,345012,1529000,1592146,431585,1567290
General function prediction only,758923,692007,628332,381773,1013770,708876,694519,1738015,577455,811716,697928,756736,2350076,690234,1465872,666855,795671,4735038,1007833,565143,594449,601379,819344,975068,621517,499253,698730,585597,591288,641272,1865523,1789166,751035,1743699
ABC transporters,1014645,678230,767054,370983,1678205,787985,633765,2970478,563003,1102692,720888,698149,4138346,665101,2633503,816367,902190,8637152,1125975,572048,577418,576002,916094,1063300,707045,521535,754104,569068,636923,606888,3120828,3125103,741481,3160260
Transporters,1771131,1195854,1750352,861955,2794973,1623207,1225069,5226757,1120052,1844660,1388658,1395386,7382307,1116132,4530762,2025450,2116176,15229189,2314051,1216680,954892,1020884,2025286,1799656,1424429,859311,1278053,1004554,1164276,999835,5395036,5419877,1193899,5420364
