species,s__Coxiella burnetii,s__Rhizophagus irregularis,s__Acinetobacter baumannii,s__Candidatus Entotheonella sp. TSY2,s__Wolbachia endosymbiont of Drosophila ananassae,s__Rhizopus delemar,s__Lichtheimia corymbifera,s__Ajellomyces capsulatus,s__Cotesia congregata bracovirus,s__Mucor circinelloides
Sample1,0.239283647,0.027767885,0.086885033,0.016489126,0.015611516,0.00547552,0.004533704,0.009386909,0.001257157,0.000629812
Sample2,0,0.098503071,0.000654505,0.058655756,0.017545499,0.013870421,0.013383501,0.003085804,0.007156277,0.006801573
