"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"167","1.0","0.0","1.0","0.0","tyrosine degradation I","2","2","1","5","XC_0450; XC_0452; XC_1010; XC_3641; XC_3642","false","TYRFUMCAT-PWY","1.0","2","0","1","1.0","5","false","0","TYRFUMCAT-PWY","0","false","0.0"
"168","1.0","0.0","1.0","0.0","phenylalanine degradation I (aerobic)","2","2","1","2","XC_0165; XC_2102","false","PHENYLALANINE-DEG1-PWY","1.0","2","0","1","1.0","3","false","0","PHENYLALANINE-DEG1-PWY","0","false","0.0"
"169","0.0","0.0","0.0","0.0","taurine degradation IV","0",,"0","1","XC_3456","true","PWY0-981","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY0-981","0","false","0.0"
"170","0.0","0.0","0.0","0.0","lysine degradation VI","0",,"0","2","XC_1733; XC_2445","true","PWY-5298","0.0","0","0","0","9.223372036854776E10","3","false","0","PWY-5298","0","false","0.0"
"171","0.0","0.0","0.0","0.0","lysine degradation VIII","0",,"0","0","","true","PWY-5314","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-5314","0","false","0.0"
"172","0.0","0.0","0.0","0.0","isoleucine degradation I","0",,"0","11","XC_0204; XC_2206; XC_2332; XC_2356; XC_2358; XC_2751; XC_2943; XC_2978; XC_2979; XC_3380; XC_3420","true","ILEUDEG-PWY","0.0","0","0","0","9.223372036854776E10","6","false","0","ILEUDEG-PWY","0","false","0.0"
"173","0.0","0.0","0.0","0.0","histidine degradation I","0",,"0","4","XC_2653; XC_2655; XC_2657; XC_4015","true","HISDEG-PWY","0.0","0","0","0","9.223372036854776E10","4","false","0","HISDEG-PWY","0","false","0.0"
"174","0.0","0.0","0.0","0.0","histidine degradation II","0",,"0","5","XC_2653; XC_2654; XC_2655; XC_2656; XC_2657","true","PWY-5028","0.0","0","0","0","9.223372036854776E10","5","false","0","PWY-5028","0","false","0.0"
"175","0.0","0.0","0.0","0.0","glycine cleavage","0",,"0","4","XC_1232; XC_2644; XC_3135; XC_3689","true","GLYCLEAV-PWY","0.0","0","0","0","9.223372036854776E10","3","false","0","GLYCLEAV-PWY","0","false","0.0"
"176","0.0","0.0","0.0","0.0","glutamine degradation I","0",,"0","6","XC_0031; XC_0032; XC_2346; XC_2348; XC_2806; XC_2848","true","GLUTAMINDEG-PWY","0.0","0","0","0","9.223372036854776E10","1","false","0","GLUTAMINDEG-PWY","0","false","0.0"
