align$name,queryName,align$alignment_name,query,subject
L14485_[M+H]+,./lxy-CID30.mzXML,L14485_[M+H]+#./lxy-CID30.mzXML#2016,"73.3777618408203,0.00244033768531666 91.3997802734375,0.000872077517223456 93.0187530517578,0.0265187814515794 102.256233215332,0.001141212487271 106.997253417969,0.00382724952355876 109.211738586426,0.0233837792845827 109.904067993164,0.00212778869491814 111.129608154297,0.0710785015613002 112.131713867188,0.00490247201488105 115.341766357422,0.000794792784557507 118.943984985352,0.00214432000176832 121.118057250977,0.0745118707103335 122.084594726562,0.00623528452338469 123.123687744141,0.0135940439423911 126.974510192871,0.00761255924362528 128.930709838867,0.00289829499051437 134.3427734375,0.000834301712010544 135.268676757812,0.00368947575395461 137.191558837891,0.185598127804689 138.162261962891,0.00376357145396279 141.369079589844,0.00422127736195082 145.080810546875,0.00732484677903605 147.090515136719,0.00475796383707087 149.154571533203,0.0826383999072558 150.135330200195,0.0110236826078926 153.091186523438,0.215953466888057 153.981796264648,0.00913465832850219 158.503875732422,0.00564976523698444 161.139450073242,0.0568549779028534 162.455993652344,0.006320881730097 163.180847167969,0.0553270011849589 164.958343505859,0.49491803206464 166.043930053711,0.0617815425440153 169.222778320312,0.00305417813280904 170.924652099609,0.00428796747382003 173.226516723633,0.0155709114685309 174.155212402344,0.00349009819481875 175.215209960938,0.00576564281579474 177.052001953125,0.0278880101113267 179.017227172852,0.000796433362254338 180.187408447266,0.00466699212920622 183.086395263672,0.0451752916547778 184.613265991211,0.00821425636227555 187.129516601562,0.0257185406026592 189.150238037109,0.00697208553952776 190.912780761719,0.0141730714442012 192.585586547852,0.000949670422374956 193.224639892578,0.012793094457041 194.153457641602,0.00792595539200353 195.154144287109,0.0555338366363512 195.870178222656,0.00165181430848876 199.818756103516,0.00383934763464772 201.115875244141,0.102780422633898 202.103820800781,0.00823738625534935 203.007415771484,0.00539735265253873 204.163299560547,0.00274589344648926 205.009429931641,0.0104747080396312 206.367431640625,0.00118067231634282 207.08056640625,0.0119531848156636 211.132049560547,0.000571874491941424 213.098510742188,0.0476176469292443 215.226196289062,0.0397672888715886 216.120422363281,0.00156227404621262 216.82861328125,0.00628333142311947 218.928070068359,0.09690252505868 220.101959228516,0.00254834113232942 220.985107421875,0.00711124891142646 223.038055419922,0.00787665184366628 223.980590820312,0.00171086734431854 225.237762451172,0.000949058042393401 229.065155029297,0.807695520592775 230.128814697266,0.107224666374509 231.018127441406,0.00251714830646638 232.874603271484,0.0093490033013765 234.121337890625,0.00368757357130905 234.989166259766,0.00171166979071399 239.035034179688,0.018955402251085 240.890441894531,0.0115045275199943 242.854858398438,0.012618892725586 243.653045654297,0.00788584926963529 245.090118408203,0.00418609929978406 247.054718017578,0.305518395111096 248.204437255859,0.0372832333802324 255.171203613281,0.00125721660830094 256.984497070312,1 258.113098144531,0.128784275110879 259.054840087891,0.00504791559277877 261.091796875,0.020318960469609 267.332122802734,0.0139561787546382 269.26806640625,0.00221343837447085 273.156066894531,0.00948642005319832 274.088012695312,0.163168156957424 275.062133789062,0.169957255698441 276.076904296875,0.0125703153608665 279.068420410156,0.00397462497934291 285.023345947266,0.621081081267862 286.13232421875,0.0667179983999556 293.630859375,0.00719711405019848 294.312316894531,0.01080297138031 302.982269287109,0.234758588273995 304.117553710938,0.0325731524441796 314.943542480469,0.00389577331655196","53,0.0025501 55,0.0099695 57,0.0016086 65,0.0351985 66,0.0014733 67,0.0312152 69,0.1613514 71,0.0047158 77,0.0157483 79,0.0124508 81,0.0591622 83,0.0098371 84,0.0012612 86,0.0012824 87,0.0013919 89,0.0031743 91,0.0231227 92,0.0037174 93,0.0304699 94,0.0083915 95,0.0490006 97,0.0150274 99,0.0182686 100,0.0014235 101,0.0170216 103,0.0183678 104,0.0045572 105,0.0328569 107,0.0341206 108,0.0029067 109,0.1834873 110,0.0055728 111,0.0954809 113,0.0069854 115,0.0749791 117,0.0732328 119,0.0140338 121,0.1665211 122,0.0024278 123,0.0679121 124,0.010495 125,0.0028503 126,0.0034523 127,0.1418297 128,0.019383 129,0.0165326 131,0.0800234 132,0.0042482 133,0.0341215 134,0.0015691 135,0.0570906 136,0.0053111 137,0.6713044 139,0.0282427 141,0.0071649 142,0.0054524 143,0.0223465 144,0.0033442 145,0.1468606 146,0.0029343 147,0.0224433 149,0.0460929 150,0.0091766 151,0.0081151 152,0.0018401 153,1 155,0.277316 157,0.0377929 158,0.0036268 159,0.0448496 160,0.0155784 161,0.1182413 162,0.0018932 163,0.1151905 165,0.2816124 166,0.0289755 167,0.0065064 168,0.0024347 169,0.0041578 171,0.0095257 172,0.0018225 173,0.2583994 174,0.0047858 175,0.0119501 176,0.0027375 177,0.0515361 178,0.0031799 179,0.0792585 183,0.2413878 184,0.0252733 185,0.0032781 187,0.1896771 188,0.0047255 189,0.013299 190,0.0071394 191,0.0498513 192,0.0022428 193,0.0086893 194,0.0026554 195,0.0236776 197,0.0018649 198,0.0012457 200,0.0207241 201,0.4871762 202,0.0101654 203,0.0126781 204,0.0067537 205,0.0234717 207,0.0197743 211,0.078145 212,0.0050421 213,0.0176505 215,0.0254747 216,0.0032308 217,0.0327431 218,0.003372 219,0.0459373 221,0.0197286 223,0.0020903 224,0.0015777 227,0.0034734 228,0.1154303 229,0.9311453 230,0.0047767 231,0.0085699 232,0.0267703 233,0.005576 235,0.0016057 238,0.0027501 239,0.061052 240,0.0010577 241,0.0033378 243,0.0099771 245,0.0490095 246,0.0097634 247,0.0346292 255,0.0069328 256,0.0130121 257,0.2327081 258,0.0101098 261,0.0043624 267,0.0033507 268,0.0016761 269,0.0073514 273,0.0053704 274,0.0663884 283,0.0018249 285,0.0951087 286,0.0157379 301,0.0044413 303,0.1380688"
L24770_[M+H]+,./lxy-CID30.mzXML,L24770_[M+H]+#./lxy-CID30.mzXML#2016,"73.3777618408203,0.00244033768531666 91.3997802734375,0.000872077517223456 93.0187530517578,0.0265187814515794 102.256233215332,0.001141212487271 106.997253417969,0.00382724952355876 109.211738586426,0.0233837792845827 109.904067993164,0.00212778869491814 111.129608154297,0.0710785015613002 112.131713867188,0.00490247201488105 115.341766357422,0.000794792784557507 118.943984985352,0.00214432000176832 121.118057250977,0.0745118707103335 122.084594726562,0.00623528452338469 123.123687744141,0.0135940439423911 126.974510192871,0.00761255924362528 128.930709838867,0.00289829499051437 134.3427734375,0.000834301712010544 135.268676757812,0.00368947575395461 137.191558837891,0.185598127804689 138.162261962891,0.00376357145396279 141.369079589844,0.00422127736195082 145.080810546875,0.00732484677903605 147.090515136719,0.00475796383707087 149.154571533203,0.0826383999072558 150.135330200195,0.0110236826078926 153.091186523438,0.215953466888057 153.981796264648,0.00913465832850219 158.503875732422,0.00564976523698444 161.139450073242,0.0568549779028534 162.455993652344,0.006320881730097 163.180847167969,0.0553270011849589 164.958343505859,0.49491803206464 166.043930053711,0.0617815425440153 169.222778320312,0.00305417813280904 170.924652099609,0.00428796747382003 173.226516723633,0.0155709114685309 174.155212402344,0.00349009819481875 175.215209960938,0.00576564281579474 177.052001953125,0.0278880101113267 179.017227172852,0.000796433362254338 180.187408447266,0.00466699212920622 183.086395263672,0.0451752916547778 184.613265991211,0.00821425636227555 187.129516601562,0.0257185406026592 189.150238037109,0.00697208553952776 190.912780761719,0.0141730714442012 192.585586547852,0.000949670422374956 193.224639892578,0.012793094457041 194.153457641602,0.00792595539200353 195.154144287109,0.0555338366363512 195.870178222656,0.00165181430848876 199.818756103516,0.00383934763464772 201.115875244141,0.102780422633898 202.103820800781,0.00823738625534935 203.007415771484,0.00539735265253873 204.163299560547,0.00274589344648926 205.009429931641,0.0104747080396312 206.367431640625,0.00118067231634282 207.08056640625,0.0119531848156636 211.132049560547,0.000571874491941424 213.098510742188,0.0476176469292443 215.226196289062,0.0397672888715886 216.120422363281,0.00156227404621262 216.82861328125,0.00628333142311947 218.928070068359,0.09690252505868 220.101959228516,0.00254834113232942 220.985107421875,0.00711124891142646 223.038055419922,0.00787665184366628 223.980590820312,0.00171086734431854 225.237762451172,0.000949058042393401 229.065155029297,0.807695520592775 230.128814697266,0.107224666374509 231.018127441406,0.00251714830646638 232.874603271484,0.0093490033013765 234.121337890625,0.00368757357130905 234.989166259766,0.00171166979071399 239.035034179688,0.018955402251085 240.890441894531,0.0115045275199943 242.854858398438,0.012618892725586 243.653045654297,0.00788584926963529 245.090118408203,0.00418609929978406 247.054718017578,0.305518395111096 248.204437255859,0.0372832333802324 255.171203613281,0.00125721660830094 256.984497070312,1 258.113098144531,0.128784275110879 259.054840087891,0.00504791559277877 261.091796875,0.020318960469609 267.332122802734,0.0139561787546382 269.26806640625,0.00221343837447085 273.156066894531,0.00948642005319832 274.088012695312,0.163168156957424 275.062133789062,0.169957255698441 276.076904296875,0.0125703153608665 279.068420410156,0.00397462497934291 285.023345947266,0.621081081267862 286.13232421875,0.0667179983999556 293.630859375,0.00719711405019848 294.312316894531,0.01080297138031 302.982269287109,0.234758588273995 304.117553710938,0.0325731524441796 314.943542480469,0.00389577331655196","84.837936,0.00146521 107.205513,0.00158493 109.028145,0.01021441 111.00737,0.02499078 112.695389,0.0015961 121.028114,0.03688082 127.039261,0.0033653 135.043564,0.00233154 137.023178,0.12563177 145.064575,0.00427056 149.023254,0.04463634 151.804108,0.00171878 153.018066,0.11565854 155.048386,0.00187789 157.064804,0.00308819 158.265488,0.0016997 159.044785,0.00207613 161.059525,0.03603289 161.347,0.00174665 163.038925,0.03468006 165.018097,0.35128592 166.026428,0.01516775 173.059479,0.01343012 175.037735,0.00196522 177.01796,0.00950771 180.721786,0.00163283 183.044525,0.00764563 183.757446,0.00138917 185.059891,0.00638412 187.038879,0.02219635 189.017212,0.00173687 191.034058,0.0105893 193.049271,0.00423658 195.028671,0.03881665 197.765182,0.00155791 201.054504,0.08778612 205.049454,0.01756324 207.028702,0.00300646 211.039185,0.00238287 213.05452,0.04127277 214.056702,0.00178613 215.034042,0.02176149 217.048462,0.00360229 219.065125,0.02338905 220.618973,0.00198942 223.037109,0.00265079 228.039764,0.00197245 228.65918,0.00365468 228.898651,0.0033539 229.0495,0.58935032 229.201508,0.00250902 229.435577,0.0018092 230.052673,0.01530387 233.044876,0.00462671 239.034012,0.01448389 241.049515,0.00768074 243.028168,0.00248826 246.051117,0.0032688 247.060287,0.16508159 248.063309,0.00434816 256.57608,0.00303275 256.865631,0.00247451 257.044464,0.64584032 257.22287,0.00215449 258.047913,0.01885833 261.038788,0.00416922 267.030151,0.00456679 274.047211,0.1030338 275.054779,0.04149794 276.05954,0.0018742 280.698792,0.00151579 284.504791,0.00133828 284.827362,0.00254558 285.039429,0.31752816 285.614594,0.00161625 286.043427,0.01170262 294.887573,0.00159458 302.44635,0.00376953 302.820099,0.00481211 303.049957,0.77226024 303.451752,0.00455255 303.664825,0.00272307 303.820557,0.00601546 304.052979,1 304.284363,0.00400615 304.441467,0.00197101 304.645721,0.00243163"
L24775_[M+H]+,./lxy-CID30.mzXML,L24775_[M+H]+#./lxy-CID30.mzXML#2016,"73.3777618408203,0.00244033768531666 91.3997802734375,0.000872077517223456 93.0187530517578,0.0265187814515794 102.256233215332,0.001141212487271 106.997253417969,0.00382724952355876 109.211738586426,0.0233837792845827 109.904067993164,0.00212778869491814 111.129608154297,0.0710785015613002 112.131713867188,0.00490247201488105 115.341766357422,0.000794792784557507 118.943984985352,0.00214432000176832 121.118057250977,0.0745118707103335 122.084594726562,0.00623528452338469 123.123687744141,0.0135940439423911 126.974510192871,0.00761255924362528 128.930709838867,0.00289829499051437 134.3427734375,0.000834301712010544 135.268676757812,0.00368947575395461 137.191558837891,0.185598127804689 138.162261962891,0.00376357145396279 141.369079589844,0.00422127736195082 145.080810546875,0.00732484677903605 147.090515136719,0.00475796383707087 149.154571533203,0.0826383999072558 150.135330200195,0.0110236826078926 153.091186523438,0.215953466888057 153.981796264648,0.00913465832850219 158.503875732422,0.00564976523698444 161.139450073242,0.0568549779028534 162.455993652344,0.006320881730097 163.180847167969,0.0553270011849589 164.958343505859,0.49491803206464 166.043930053711,0.0617815425440153 169.222778320312,0.00305417813280904 170.924652099609,0.00428796747382003 173.226516723633,0.0155709114685309 174.155212402344,0.00349009819481875 175.215209960938,0.00576564281579474 177.052001953125,0.0278880101113267 179.017227172852,0.000796433362254338 180.187408447266,0.00466699212920622 183.086395263672,0.0451752916547778 184.613265991211,0.00821425636227555 187.129516601562,0.0257185406026592 189.150238037109,0.00697208553952776 190.912780761719,0.0141730714442012 192.585586547852,0.000949670422374956 193.224639892578,0.012793094457041 194.153457641602,0.00792595539200353 195.154144287109,0.0555338366363512 195.870178222656,0.00165181430848876 199.818756103516,0.00383934763464772 201.115875244141,0.102780422633898 202.103820800781,0.00823738625534935 203.007415771484,0.00539735265253873 204.163299560547,0.00274589344648926 205.009429931641,0.0104747080396312 206.367431640625,0.00118067231634282 207.08056640625,0.0119531848156636 211.132049560547,0.000571874491941424 213.098510742188,0.0476176469292443 215.226196289062,0.0397672888715886 216.120422363281,0.00156227404621262 216.82861328125,0.00628333142311947 218.928070068359,0.09690252505868 220.101959228516,0.00254834113232942 220.985107421875,0.00711124891142646 223.038055419922,0.00787665184366628 223.980590820312,0.00171086734431854 225.237762451172,0.000949058042393401 229.065155029297,0.807695520592775 230.128814697266,0.107224666374509 231.018127441406,0.00251714830646638 232.874603271484,0.0093490033013765 234.121337890625,0.00368757357130905 234.989166259766,0.00171166979071399 239.035034179688,0.018955402251085 240.890441894531,0.0115045275199943 242.854858398438,0.012618892725586 243.653045654297,0.00788584926963529 245.090118408203,0.00418609929978406 247.054718017578,0.305518395111096 248.204437255859,0.0372832333802324 255.171203613281,0.00125721660830094 256.984497070312,1 258.113098144531,0.128784275110879 259.054840087891,0.00504791559277877 261.091796875,0.020318960469609 267.332122802734,0.0139561787546382 269.26806640625,0.00221343837447085 273.156066894531,0.00948642005319832 274.088012695312,0.163168156957424 275.062133789062,0.169957255698441 276.076904296875,0.0125703153608665 279.068420410156,0.00397462497934291 285.023345947266,0.621081081267862 286.13232421875,0.0667179983999556 293.630859375,0.00719711405019848 294.312316894531,0.01080297138031 302.982269287109,0.234758588273995 304.117553710938,0.0325731524441796 314.943542480469,0.00389577331655196","83.377533,0.00197968 84.856705,0.00208459 85.451431,0.00232037 93.033463,0.00450229 93.480858,0.00227378 100.445328,0.00243865 105.179283,0.00255265 107.011978,0.00312539 109.028023,0.01314832 111.007339,0.04186239 117.479103,0.00208575 121.028183,0.06807006 123.043892,0.00494081 127.038109,0.00716646 135.044205,0.00581038 137.023117,0.19837048 138.02652,0.00392611 145.064545,0.00554944 145.881287,0.00243253 147.043289,0.00262305 149.023071,0.07139728 153.018021,0.18430203 154.022125,0.00576774 156.526993,0.00218744 157.063766,0.00521111 159.042908,0.0053909 161.059464,0.05381499 163.038818,0.06023368 164.775772,0.00289156 165.018051,0.57153851 166.027969,0.0210963 173.059387,0.0223657 175.03952,0.00350946 177.0186,0.01567347 183.044235,0.01357437 185.059052,0.01055017 187.039001,0.03130244 188.437698,0.00234614 189.05481,0.00256654 191.033768,0.01620699 193.049316,0.00846755 194.023621,0.00323309 195.028763,0.06226252 201.054459,0.13955033 202.056183,0.0052888 205.049347,0.02872168 207.029343,0.00402159 211.038971,0.00720491 213.054626,0.05956767 213.61264,0.00207905 214.057083,0.00346136 215.033829,0.03552122 219.028778,0.03968883 220.066223,0.00248287 223.040909,0.00280177 228.041641,0.00303332 228.65593,0.00402794 228.898315,0.00603638 229.049408,0.92341528 229.200089,0.00312798 229.444595,0.00285872 230.052673,0.04726807 233.044189,0.00930389 239.034073,0.02331911 241.050461,0.01112647 243.028748,0.00320436 246.05191,0.00507895 247.060135,0.26067076 248.063736,0.01216282 256.573273,0.00474313 256.864441,0.0072993 257.044373,0.99927113 257.220856,0.00418656 257.515808,0.00319096 258.047363,0.06363302 259.416779,0.00256316 261.040924,0.00521694 267.028534,0.00487233 274.047089,0.1657985 275.054688,0.06873795 276.057404,0.00427177 284.830292,0.00402065 285.039246,0.48280678 286.04245,0.02993418 302.45697,0.00340261 303.049774,0.50766942 303.453339,0.00379106 303.658844,0.00305045 303.822784,0.00577894 304.052979,1 304.282349,0.00330103 304.654175,0.00362032 316.210083,0.00295027"
L23433_[M+H]+,./lxy-CID30.mzXML,L23433_[M+H]+#./lxy-CID30.mzXML#2053,"129.889373779297,0.00478843743724386 135.57878112793,0.00234652250419614 141.323974609375,0.00131948605589604 147.200378417969,0.00751179582964544 149.099060058594,0.001993263554706 156.185180664062,0.00155045285526482 161.053253173828,0.00233748097171914 171.350524902344,0.00640480699620922 181.340698242188,0.00136432347643592 183.199401855469,0.00858710598442532 189.442260742188,0.00872165514432982 191.2275390625,0.00275647542624589 195.246856689453,0.00541102403761525 199.135391235352,0.00373754058230258 201.155578613281,0.00356048614778342 207.000061035156,0.0134219047123197 209.348648071289,0.00819719667556719 210.95133972168,0.00446990277602164 218.969818115234,0.00300904253967428 222.244812011719,0.00320462494917528 225.195892333984,0.00260907249217175 227.312637329102,0.00538560121619846 228.846069335938,0.000714418877387212 231.096801757812,0.00694980299221266 233.187835693359,0.0119218005836166 235.21728515625,0.0112622986535167 241.299987792969,0.0172342083863274 242.350128173828,0.00260894252498469 243.091247558594,0.00189728811358458 245.110504150391,0.019801861052642 247.226715087891,0.00790467094710014 249.044799804688,0.00355178899929837 255.255493164062,0.00189147968436607 257.104431152344,0.0079982395741136 259.090026855469,0.0314059172375151 261.111328125,0.05294739393128 263,0.0049092011654977 267.018280029297,0.00096938931847144 268.056457519531,0.00170328971549311 269.181060791016,0.00683474000054544 270.296020507812,0.00836875646155791 275.289978027344,0.0094004433527459 278.087219238281,0.0565876404187957 283.203735351562,0.0126338410227422 285.060485839844,0.00841255792159109 287.465942382812,0.00122964599572453 289.297058105469,0.00505065853657025 291.421203613281,0.0060296109026471 293.032592773438,0.00613680729619905 297.364990234375,0.000881051725468393 299.100158691406,0.000972152719153731 303.233276367188,0.0349807361899308 305.179382324219,0.00594167909393153 307.206329345703,0.00105523264552606 311.070617675781,0.00442245836091504 313.013916015625,0.00189074888526504 316.042572021484,0.00193551861052642 319.268981933594,0.00627575016053175 321.559844970703,0.00368971653129935 325.012420654297,0.00639032659843757 325.990234375,0.00945877557041456 326.756591796875,0.00149929265697402 327.957000732422,0.00526285137239151 328.719360351562,0.00281027080125797 331.384094238281,0.00672660032800541 334.729309082031,0.00206538159140889 339.170196533203,0.0432175707269423 341.344848632812,0.021647935896387 343.181396484375,0.00664456798364684 345.303344726562,0.00257859121612408 349.232299804688,0.107927888393864 356.551818847656,0.0168177137179649 357.208282470703,0.0887526125147826 359.3671875,0.0109797767183095 360.122894287109,0.00658233868728415 361.321899414062,0.00279980660262751 362.588836669922,0.00364612968176285 367.234558105469,0.645844099497455 368.497406005859,0.0200259779420697 371.579376220703,0.00370821138498613 373.502777099609,0.0130163466568488 375.064300537109,0.00679320473438503 385.162811279297,1 386.250518798828,0.0267984204667445 394.770050048828,0.00117684203210883 401.277099609375,0.00523974704162917 402.651947021484,0.0143679744116108 403.879669189453,0.00158386933660719","339.2335,0.28947368 349.2127,0.32894737 367.222,1 385.2361,0.93421053"
L26542_[M+H]+,./lxy-CID30.mzXML,L26542_[M+H]+#./lxy-CID30.mzXML#2083,"60.0414123535156,0.00168538565983936 69.4000701904297,0.00149908831734317 105.302703857422,0.00371052523656444 110.31169128418,0.00102521914130985 118.219848632812,0.00366544265326451 120.136581420898,0.0191051608095382 130.118621826172,0.748156913957414 130.759872436523,0.00675893691109143 143.144790649414,0.00130569419311068 147.090194702148,0.00392284132408102 148.11604309082,0.0013089737324307 149.25617980957,0.00251436157190493 155.630645751953,0.00774811196227131 160.594619750977,0.00159484191596719 162.196563720703,0.00104949722546122 171.912216186523,1 172.689163208008,0.00705402393736837 176.509201049805,0.00178644164038619 178.203018188477,0.00276276137418174 189.851516723633,0.0171668334656591 190.538208007812,0.00527741610562038 191.488754272461,0.00155425061200001 199.868545532227,0.00314389825123622 202.990463256836,0.00169054418030768","130.1,0.986 131.1,0.029 172,1 173.1,0.025"
L26441_[M+H]+,./lxy-CID30.mzXML,L26441_[M+H]+#./lxy-CID30.mzXML#2360,"163.302444458008,0.0104402888342072 189.340576171875,0.0577083076010864 190.424301147461,0.0805128751789727 195.421630859375,0.0220186249581535 208.780151367188,0.0137256086421653 236.072952270508,0.0121171946853433 240.200408935547,0.0164665780577446 242.446166992188,0.0124714524975972 247.393859863281,0.0154496463376854 252.710510253906,0.0180690256134568 253.370239257812,0.0277286544965231 257.369537353516,0.0209118026251729 265.105743408203,0.0116442829162403 266.148010253906,0.0167542976227116 270.29541015625,0.0619719264841798 273.294982910156,0.0467336800465352 276.813903808594,0.0358831719148076 295.62255859375,0.10459143856928 301.053497314453,0.106363863083523 308.185577392578,0.0236546966862715 320.971618652344,0.0185007789699542 322.333557128906,0.0513109229929185 333.127044677734,0.0187937680210097 335.048278808594,0.0854531291199718 345.912902832031,0.0158473941080073 346.783264160156,0.0324739022989049 348.401153564453,0.0501645056922543 356.254913330078,0.0137161901827906 358.548919677734,0.0550902659100092 360.167114257812,0.0222534703801871 362.382019042969,0.0104703581248206 367.468811035156,0.0257667200688128 369.332489013672,0.0722918230287355 377.25537109375,0.0223748460846038 378.696228027344,0.056292552418415 379.335693359375,0.0125109253074146 386.375671386719,0.0331920569700136 387.674346923828,0.019874420447929 391.417205810547,0.0394362433101782 397.343994140625,0.0153184540622865 404.455688476562,0.0380430530582621 405.296447753906,0.0459990700956531 406.149261474609,0.034910623047724 412.410400390625,0.0483276275239538 414.189239501953,0.184467757016495 415.191009521484,0.0552361768900462 419.363800048828,0.0267992879957578 423.260375976562,0.014513613884288 432.247375488281,1 433.187530517578,0.439423675287054 434.137451171875,0.126506447291809","172.2,0.002 321.3,0.004 336.1,0.002 339.3,0.016 357.3,0.059 375.2,0.002 414.3,1 415,0.001 418.6,0.002 419.2,0.002 430.2,0.001 431.5,0.127 432.1,0.878 433.1,0.002"
L26626_[M+H]+,./lxy-CID30.mzXML,L26626_[M+H]+#./lxy-CID30.mzXML#2360,"163.302444458008,0.0104402888342072 189.340576171875,0.0577083076010864 190.424301147461,0.0805128751789727 195.421630859375,0.0220186249581535 208.780151367188,0.0137256086421653 236.072952270508,0.0121171946853433 240.200408935547,0.0164665780577446 242.446166992188,0.0124714524975972 247.393859863281,0.0154496463376854 252.710510253906,0.0180690256134568 253.370239257812,0.0277286544965231 257.369537353516,0.0209118026251729 265.105743408203,0.0116442829162403 266.148010253906,0.0167542976227116 270.29541015625,0.0619719264841798 273.294982910156,0.0467336800465352 276.813903808594,0.0358831719148076 295.62255859375,0.10459143856928 301.053497314453,0.106363863083523 308.185577392578,0.0236546966862715 320.971618652344,0.0185007789699542 322.333557128906,0.0513109229929185 333.127044677734,0.0187937680210097 335.048278808594,0.0854531291199718 345.912902832031,0.0158473941080073 346.783264160156,0.0324739022989049 348.401153564453,0.0501645056922543 356.254913330078,0.0137161901827906 358.548919677734,0.0550902659100092 360.167114257812,0.0222534703801871 362.382019042969,0.0104703581248206 367.468811035156,0.0257667200688128 369.332489013672,0.0722918230287355 377.25537109375,0.0223748460846038 378.696228027344,0.056292552418415 379.335693359375,0.0125109253074146 386.375671386719,0.0331920569700136 387.674346923828,0.019874420447929 391.417205810547,0.0394362433101782 397.343994140625,0.0153184540622865 404.455688476562,0.0380430530582621 405.296447753906,0.0459990700956531 406.149261474609,0.034910623047724 412.410400390625,0.0483276275239538 414.189239501953,0.184467757016495 415.191009521484,0.0552361768900462 419.363800048828,0.0267992879957578 423.260375976562,0.014513613884288 432.247375488281,1 433.187530517578,0.439423675287054 434.137451171875,0.126506447291809","414.3,0.242 432.1,1 432.7,0.006"
L00127_[M+H]+,./lxy-CID30.mzXML,L00127_[M+H]+#./lxy-CID30.mzXML#2514,"84.2028656005859,0.0519404794832221 115.807800292969,0.169762647763701 137.095397949219,0.258798101438472 138.102508544922,0.275732619752138 146.101852416992,0.313980491045553 150.331970214844,0.395929636017912 162.363647460938,0.184824195693998 172.930084228516,0.216150215564463 174.014266967773,0.388358692817736 175.291198730469,0.224909787583984 177.442520141602,0.0918554804305601 193.324417114258,0.0916710637103846 199.017562866211,0.097581086025903 203.780868530273,0.921807961564914 205.190444946289,0.231151878913778 206.100509643555,0.387650242202086 215.10774230957,0.48576995147947 218.796981811523,0.0880596128972561 222.228591918945,0.120343185214797 223.09130859375,0.106343236687497 232.137466430664,0.885425174516487 232.949584960938,0.331863448935276 236.527267456055,0.240022307507123 241.056640625,0.259073064796719 250.00651550293,0.259687132105386 250.76008605957,1 257.138854980469,0.122413596964352","121.0645,0.00901879 124.1124,0.00156383 147.0798,0.00140255 203.1432,0.01791004 215.1434,0.2938109 232.17,1"
L06213_[M+H]+,./lxy-CID30.mzXML,L06213_[M+H]+#./lxy-CID30.mzXML#2514,"84.2028656005859,0.0519404794832221 115.807800292969,0.169762647763701 137.095397949219,0.258798101438472 138.102508544922,0.275732619752138 146.101852416992,0.313980491045553 150.331970214844,0.395929636017912 162.363647460938,0.184824195693998 172.930084228516,0.216150215564463 174.014266967773,0.388358692817736 175.291198730469,0.224909787583984 177.442520141602,0.0918554804305601 193.324417114258,0.0916710637103846 199.017562866211,0.097581086025903 203.780868530273,0.921807961564914 205.190444946289,0.231151878913778 206.100509643555,0.387650242202086 215.10774230957,0.48576995147947 218.796981811523,0.0880596128972561 222.228591918945,0.120343185214797 223.09130859375,0.106343236687497 232.137466430664,0.885425174516487 232.949584960938,0.331863448935276 236.527267456055,0.240022307507123 241.056640625,0.259073064796719 250.00651550293,0.259687132105386 250.76008605957,1 257.138854980469,0.122413596964352","81.07,0.00662329 107.0491,0.08557956 133.0648,0.11281691 145.0646,0.02055837 159.0805,0.02159724 173.0964,0.01754187 201.1274,0.50254873 232.1696,1 250.1805,0.69242788"
L06218_[M+H]+,./lxy-CID30.mzXML,L06218_[M+H]+#./lxy-CID30.mzXML#2514,"84.2028656005859,0.0519404794832221 115.807800292969,0.169762647763701 137.095397949219,0.258798101438472 138.102508544922,0.275732619752138 146.101852416992,0.313980491045553 150.331970214844,0.395929636017912 162.363647460938,0.184824195693998 172.930084228516,0.216150215564463 174.014266967773,0.388358692817736 175.291198730469,0.224909787583984 177.442520141602,0.0918554804305601 193.324417114258,0.0916710637103846 199.017562866211,0.097581086025903 203.780868530273,0.921807961564914 205.190444946289,0.231151878913778 206.100509643555,0.387650242202086 215.10774230957,0.48576995147947 218.796981811523,0.0880596128972561 222.228591918945,0.120343185214797 223.09130859375,0.106343236687497 232.137466430664,0.885425174516487 232.949584960938,0.331863448935276 236.527267456055,0.240022307507123 241.056640625,0.259073064796719 250.00651550293,0.259687132105386 250.76008605957,1 257.138854980469,0.122413596964352","201.1274,0.00713178 232.1698,1"
